Animation,Children's,Comedy,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Sci-Fi,Documentary,War,Musical,Mystery,Film-Noir,Western,rank
Toy Story (1995),"Legend of Lobo, The (1962)","Saphead, The (1920)",Knockout (1999),Star Wars: Episode IV - A New Hope (1977),Echte Kerle (1996),"Lost Son, The (1999)",Guardian Angel (1994),MURDER and murder (1996),Baton Rouge (1988),"Kill, Baby... Kill! (Operazione Paura) (1966)",Zone 39 (1997),Let it Come Down: The Life of Paul Bowles (1998),Nothing Personal (1995),Big Fella (1937),"Woman in Question, The (1950)",Blade Runner (1982),Hi-Yo Silver (1940),1
Toy Story 2 (1999),Toy Story (1995),Salut cousin! (1996),"Legend of Lobo, The (1962)",E.T. the Extra-Terrestrial (1982),Hustler White (1996),Und keiner weint mir nach (1996),Men of Means (1998),"Innocent Sleep, The (1995)",Guardian Angel (1994),"House of Exorcism, The (La Casa dell'esorcismo) (1974)","Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)",Photographer (Fotoamator) (1998),Pharaoh's Army (1995),"Wizard of Oz, The (1939)",MURDER and murder (1996),"Maltese Falcon, The (1941)",Butch Cassidy and the Sundance Kid (1969),2
"Wrong Trousers, The (1993)","Wizard of Oz, The (1939)",Blue Juice (1995),Star Wars: Episode IV - A New Hope (1977),Big (1988),Love in Bloom (1935),Parallel Sons (1995),Inside (1996),Two Crimes (1995),Buddy Boy (1999),Anguish (Angustia) (1986),Star Wars: Episode IV - A New Hope (1977),"Eye of Vichy, The (Oeil de Vichy, L') (1993)",Schindler's List (1993),This Is Spinal Tap (1984),L.A. Confidential (1997),L.A. Confidential (1997),Blazing Saddles (1974),3
"Close Shave, A (1995)",Toy Story 2 (1999),I Shot a Man in Vegas (1995),Raiders of the Lost Ark (1981),Willy Wonka and the Chocolate Factory (1971),Liebelei (1933),Blue Juice (1995),New York Cop (1996),Any Number Can Win (Mélodie en sous-sol ) (1963),"Not Love, Just Frenzy (Más que amor, frenesí) (1996)",Beyond Bedlam (1993),Star Wars: Episode V - The Empire Strikes Back (1980),Condo Painting (2000),Star Wars: Episode V - The Empire Strikes Back (1980),Singin' in the Rain (1952),Rear Window (1954),Chinatown (1974),Unforgiven (1992),4
Wallace & Gromit: The Best of Aardman Animation (1996),E.T. the Extra-Terrestrial (1982),Farmer & Chase (1995),Star Wars: Episode V - The Empire Strikes Back (1980),Excalibur (1981),Parallel Sons (1995),East Palace West Palace (Dong gong xi gong) (1997),Hostile Intentions (1994),New York Cop (1996),Ratchet (1996),Alien (1979),"Matrix, The (1999)",War Stories (1995),Saving Private Ryan (1998),"Blues Brothers, The (1980)",Chinatown (1974),"Manchurian Candidate, The (1962)","Good, The Bad and The Ugly, The (1966)",5
"Grand Day Out, A (1992)",Babe (1995),Here Comes Cookie (1935),"Princess Bride, The (1987)",Time Bandits (1981),Vermont Is For Lovers (1992),Stacy's Knights (1982),Knockout (1999),"Night Visitor, The (1970)",Hostile Intentions (1994),Ghostbusters (1984),Star Wars: Episode VI - Return of the Jedi (1983),Unforgotten: Twenty-Five Years After Willowbrook (1996),Casablanca (1942),"Producers, The (1968)","Maltese Falcon, The (1941)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Dances with Wolves (1990),6
"Bug's Life, A (1998)","Bug's Life, A (1998)",Curtis's Charm (1995),Star Wars: Episode VI - Return of the Jedi (1983),Heavenly Creatures (1994),Madagascar Skin (1995),Phantom Love (Ai No Borei) (1978),Third World Cop (1999),Phoenix (1998),"Night Visitor, The (1970)",Jaws (1975),Terminator 2: Judgment Day (1991),Fire on the Mountain (1996),Braveheart (1995),My Fair Lady (1964),2001: A Space Odyssey (1968),Double Indemnity (1944),Little Big Man (1970),7
Chicken Run (2000),Chicken Run (2000),Honigmond (1996),"Wizard of Oz, The (1939)",Beetlejuice (1988),Und keiner weint mir nach (1996),"Law, The (Le Legge) (1958)",Bird of Prey (1996),"Big Bang Theory, The (1994)","Sixth Sense, The (1999)",Psycho (1960),Blade Runner (1982),"Tickle in the Heart, A (1996)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),West Side Story (1961),Vertigo (1958),"Big Sleep, The (1946)",High Noon (1952),8
"Iron Giant, The (1999)",Willy Wonka and the Chocolate Factory (1971),Three Lives and Only One Death (1996),Stand by Me (1986),"20,000 Leagues Under the Sea (1954)",Mad About Mambo (2000),Of Love and Shadows (1994),Star Wars: Episode IV - A New Hope (1977),"Letter From Death Row, A (1998)","Silence of the Lambs, The (1991)",Young Frankenstein (1974),"Terminator, The (1984)",Hellhounds on My Trail (1999),"Bridge on the River Kwai, The (1957)","Sound of Music, The (1965)","Third Man, The (1949)",Strangers on a Train (1951),"Fistful of Dollars, A (1964)",9
Beauty and the Beast (1991),Aladdin (1992),Vermont Is For Lovers (1992),Indiana Jones and the Last Crusade (1989),"Dark Crystal, The (1982)",My Best Girl (1927),Halfmoon (Paul Bowles - Halbmond) (1995),Raiders of the Lost Ark (1981),Caught Up (1998),"Matrix, The (1999)","Shining, The (1980)",Alien (1979),"Century of Cinema, A (1994)",Forrest Gump (1994),Beauty and the Beast (1991),"Big Sleep, The (1946)",Notorious (1946),Yojimbo (1961),10
